,date_time,charge_desc,injured,killed,hit_run_lvl,address,lat,lng
0,0,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,1,"3800   MISSION BOULEVARD, San Diego, CA",32.784809,-117.253016
1,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"2600   FIGUEROA BOULEVARD, San Diego, CA",32.804345,-117.222641
2,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,0,"4400   BEYER BOULEVARD, San Diego, CA",32.558313,-117.040611
3,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,0,"300   ARBOR DRIVE, San Diego, CA",32.753873,-117.162096
4,1,TURNS:IMPROPER LEFT HAND TURN (I),1,0,1,"1500   IMPERIAL AVENUE, San Diego, CA",32.7041759,-117.1067834
5,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"5000   WARING ROAD, San Diego, CA",32.7864446628571,-117.08453476105497
6,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"17300   POMERADO ROAD, San Diego, CA",33.0120131,-117.056532
7,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"3300   COLLEGE AVENUE, San Diego, CA",32.7521129,-117.0640165
8,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"0   04TH AVENUE, San Diego, CA",,
9,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,1,"5600   GENESEE AVENUE, San Diego, CA",32.8142652,-117.1794037
10,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1800   UNIVERSITY AVENUE, San Diego, CA",32.7497606,-117.1186691
11,1,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,0,"1600   G STREET, San Diego, CA",32.712713,-117.149319
12,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"3800   PERSHING AVENUE, San Diego, CA",32.74771,-117.134741
13,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,0,"7600   TRADE STREET, San Diego, CA",32.88921786164375,-117.15856769798678
14,1,RIGHT TURNS AT INTERSECTIONS,1,0,0,"0   BERNARDO CENTER DRIVE, San Diego, CA",33.0119815,-117.0808715
15,1,"ENTRANCE FROM STOP THROUGH HIGHWAY,YIELD UNTIL REASONABLY SAFE",1,0,0,"4700   FANUEL STREET, San Diego, CA",32.802396,-117.247643
16,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"7600   OTHELLO AVENUE, San Diego, CA",32.817172,-117.158343
17,1,HIT AND RUN:PROP DAMAGE (M),0,0,1,"4000   HOME AVENUE, San Diego, CA",32.72255,-117.108514
18,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"1400   UNIVERSITY AVENUE, San Diego, CA",32.7497606,-117.1186691
19,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,1,"0   CATALINA BOULEVARD, San Diego, CA",32.7251237,-117.244841
20,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,1,"3100   INDIA STREET, San Diego, CA",32.741543,-117.17971
21,1,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,1,0,0,"8100   FRIARS ROAD, San Diego, CA",32.7721825,-117.1579537
22,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"700   PACIFIC BEACH DRIVE, San Diego, CA",32.790718,-117.255017
23,1,HIT AND RUN,0,0,1,"9000   RECHO ROAD, San Diego, CA",,
24,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"3400   BALBOA AVENUE, San Diego, CA",32.8178529,-117.1857651
25,0,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,0,"2400   FAIRMOUNT AVENUE, San Diego, CA",32.730148,-117.100968
26,1,UNSAFE START ON HWY (I),0,0,1,"4200   PALM AVENUE, San Diego, CA",32.583792,-117.041557
27,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"5500   CLAIREMONT MESA BOULEVARD, San Diego, CA",32.832866,-117.1458038
28,0,HIT AND RUN,1,0,1,"7200   ALSACIA STREET, San Diego, CA",32.684086644708536,-117.03659463225307
29,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"14500   EL CAMINO REAL  , San Diego, CA",32.9365292,-117.2388302
30,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"1400   FRAZEE ROAD, San Diego, CA",32.772656,-117.157566
31,1,BICYCLE DRIVING ON WRONG SIDE OF ROAD,1,0,0,"0   BLACK MTN ROAD, San Diego, CA",32.9469382,-117.1300159
32,0,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"4500   WIGHTMAN STREET, San Diego, CA",32.747801,-117.097524
33,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1500   CAM DE LA REINA  , San Diego, CA",,
34,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,1,"9600   CARROLL CANYON ROAD, San Diego, CA",32.903332,-117.119932
35,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,1,"2000   QUALCOMM WAY, San Diego, CA",32.771549,-117.140185
36,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"5200   FIORE TERRACE, San Diego, CA",32.870108,-117.204648
37,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"2700   DALE STREET, San Diego, CA",32.733985,-117.130495
38,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"3600   ARRUZA STREET, San Diego, CA",32.57201,-117.057893
39,1,FOLLOW TOO CLOSELY,0,0,1,"4300   54TH STREET, San Diego, CA",32.754991,-117.079503
