field,description,possible_values
report_id,Collision report number,
date_time,Date/time of collision,Date / time in 24 hour format
police_beat,San Diego Police beat,see list linked at https://data.sandiego.gov/datasets/police-beats/
address_no_primary,"Street number of collision location, abstracted to block level",
address_pd_primary,Direction of street in location,
address_road_primary,Name of street,
address_sfx_primary,Street type,
address_pd_intersecting,"Direction of cross street, if collision at intersection",
address_name_intersecting,"Street name, if collision at intersection",
address_sfx_intersecting,"Street type, if collision at intersection",
violation_section,Violation section for primary collision factor,
violation_type,Violation type for primary collision factor,
charge_desc,Violation section description for primary collision factor,Felony or Misdemeanor (Null if not a hit & run)
injured,Number of people injured in collision,
killed,Number of people killed in collision,
hit_run_lvl,"Level of violation, if collision was a hit & run",
